pid,pref,prefkana,prefshort,prefshortkana,pref_en,pref3code,url,lgcode,ISO3166-2,capital,lat,lng
36,徳島県,とくしまけん,徳島,とくしま,Tokushima,TKS,https://www.pref.tokushima.lg.jp/,360007,JP-36,徳島市,34.065770,134.559303
37,香川県,かがわけん,香川,かがわ,Kagawa,KGW,https://www.pref.kagawa.lg.jp/,370002,JP-37,高松市,34.340149,134.043444
38,愛媛県,えひめけん,愛媛,えひめ,Ehime,EHM,https://www.pref.ehime.jp/,380008,JP-38,松山市,33.841660,132.765362
39,高知県,こうちけん,高知,こうち,Kochi,KOC,https://www.pref.kochi.lg.jp/,390003,JP-39,高知市,33.559705,133.531080
40,福岡県,ふくおかけん,福岡,ふくおか,Fukuoka,FKO,https://www.pref.fukuoka.lg.jp/,400009,JP-40,福岡市,33.606785,130.418314
41,佐賀県,さがけん,佐賀,さが,Saga,SAG,https://www.pref.saga.lg.jp/,410004,JP-41,佐賀市,33.249367,130.298822
42,長崎県,ながさきけん,長崎,ながさき,Nagasaki,NGS,https://www.pref.nagasaki.lg.jp/,420000,JP-42,長崎市,32.744839,129.873756
43,熊本県,くまもとけん,熊本,くまもと,Kumamoto,KMM,https://www.pref.kumamoto.jp/,430005,JP-43,熊本市,32.789828,130.741667
44,大分県,おおいたけん,大分,おおいた,Oita,OIT,https://www.pref.oita.jp/,440001,JP-44,大分市,33.238194,131.612591
45,宮崎県,みやざきけん,宮崎,みやざき,Miyazaki,MYZ,https://www.pref.miyazaki.lg.jp/,450006,JP-45,宮崎市,31.911090,131.423855
46,鹿児島県,かごしまけん,鹿児島,かごしま,Kagoshima,KGS,https://www.pref.kagoshima.jp/,460001,JP-46,鹿児島市,31.560148,130.557981
47,沖縄県,おきなわけん,沖縄,おきなわ,Okinawa,OKN,https://www.pref.okinawa.lg.jp/,470007,JP-47,那覇市,26.212401,127.680932
